degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
Doctorate,Physics and astronomy,False,81000,48000.0,27000.0,6000.0,0.5925925925925926,0.3333333333333333,0.07407407407407407
Doctorate,Other physical sciences,False,4000,4000.0,,,1.0,,
Doctorate,Social and related sciences,False,317000,265000.0,38000.0,14000.0,0.8359621451104101,0.11987381703470032,0.04416403785488959
Doctorate,Economics,False,36000,31000.0,6000.0,,0.8611111111111112,0.16666666666666666,
Doctorate,Political and related sciences,False,30000,21000.0,6000.0,3000.0,0.7,0.2,0.1
Doctorate,Psychology,False,166000,147000.0,14000.0,6000.0,0.8855421686746988,0.08433734939759036,0.03614457831325301
Doctorate,Sociology and anthropology,False,40000,34000.0,5000.0,,0.85,0.125,
Doctorate,Other social sciences,False,45000,33000.0,7000.0,5000.0,0.7333333333333333,0.15555555555555556,0.1111111111111111
Doctorate,Engineering,False,300000,233000.0,55000.0,11000.0,0.7766666666666666,0.18333333333333332,0.03666666666666667
Doctorate,"Aerospace, aeronautical, and astronautical engineering",False,13000,10000.0,,,0.7692307692307693,,
Doctorate,Chemical engineering,False,32000,23000.0,8000.0,2000.0,0.71875,0.25,0.0625
Doctorate,Civil and architectural engineering,False,27000,23000.0,4000.0,,0.8518518518518519,0.14814814814814814,
Doctorate,Electrical and computer engineering,False,92000,74000.0,17000.0,,0.8043478260869565,0.18478260869565216,
Doctorate,Industrial engineering,False,14000,11000.0,2000.0,,0.7857142857142857,0.14285714285714285,
Doctorate,Mechanical engineering,False,44000,35000.0,8000.0,2000.0,0.7954545454545454,0.18181818181818182,0.045454545454545456
Doctorate,Other engineering,False,79000,59000.0,16000.0,4000.0,0.7468354430379747,0.20253164556962025,0.05063291139240506
Doctorate,S&E-related fields,False,384000,337000.0,35000.0,12000.0,0.8776041666666666,0.09114583333333333,0.03125
Doctorate,Health,False,354000,312000.0,31000.0,10000.0,0.8813559322033898,0.08757062146892655,0.02824858757062147
