year,legal_form_tier,proprietor_effort_tier,employee_comp_share_resources,proprietors_share_resources,rental_share_resources,interest_share_resources,dividends_share_resources,transfers_share_resources,proprietor_effort_share_low,proprietor_effort_share_mid,proprietor_effort_share_high,transfer_wage_exposure_low,transfer_wage_exposure_mid,transfer_wage_exposure_high,labor_origin_current_resource_share_low,labor_origin_current_resource_share_mid,labor_origin_current_resource_share_high,ownership_origin_current_resource_share_mid,fiscal_nonlabor_or_unresolved_current_resource_share_mid
1992,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6263912278323092,0.06833063588789783,0.010343470924110995,0.13766124479564928,0.03231948318334307,0.12495393737668962,0.4819513402161126,0.5429201571071679,0.6027374694008174,0.652355622133437,0.7796261378527882,0.9090388968014728,0.7408376729316937,0.7609066630102871,0.7811646517738356,0.21155675521951103,0.027536581770201934
1993,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6241239913116484,0.06997507453523286,0.014727851366077332,0.13028080183315388,0.03353697168274273,0.12735530927114472,0.4770706920423444,0.5373921392531198,0.5966912399783825,0.6461594373965007,0.7756887130792557,0.9073944038696806,0.7397988835339869,0.7605161222628787,0.7814390002393855,0.21091664441832153,0.028567233318799873
1994,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6224810226969383,0.07095322044685345,0.01766154752615274,0.12528329608881256,0.036876426191677046,0.1267444870495658,0.47219441869440576,0.5318549133490613,0.5906154906972217,0.6403449000959426,0.771977979246949,0.9058163366310802,0.7371449232778021,0.7580617946027515,0.779194320755128,0.21303767134089777,0.028900534056350905
1995,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.617599116842949,0.07078938046015025,0.018371938108391526,0.12789462255745995,0.03813116482812922,0.12721377720292018,0.4673234452864092,0.5263098308741683,0.5845119456786807,0.6376043325451282,0.7702247315835526,0.9050617262257513,0.7317927095132892,0.7528394611004666,0.7741126761440726,0.21792995909646207,0.02923057980307111
1996,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6136006928208193,0.0755423637314858,0.019799961046888487,0.1231389261888548,0.04201156979650194,0.12590648641544966,0.4624586928984802,0.520758251041263,0.5783823625623654,0.6380878468340562,0.7705152262315798,0.9051505420812087,0.7288753144298195,0.7499528669015744,0.7712573880598661,0.22115351154739957,0.028893621551026146
1997,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6161947580462064,0.07641659935022899,0.019244104342855693,0.12153769631089348,0.04419827398603648,0.12240856796377908,0.45760107788410165,0.5152015394713023,0.5722285305983601,0.6411232965715548,0.7724151847199536,0.9058889778640586,0.7296420608986499,0.7501149443076534,0.7708110889202223,0.2220267243636149,0.027858331328731657
1998,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6194124768093077,0.0782063006373631,0.020179032328396206,0.12141644333531657,0.043781535463544526,0.11700421142607201,0.4527515111850628,0.5096410668544872,0.5660522686592165,0.6398021604858617,0.7715897629240445,0.905567128763112,0.7296800448634126,0.7495488710562338,0.7696364985028319,0.2237261692730519,0.026724959670714334
1999,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.627787386159654,0.08091553806267135,0.0207412067425277,0.1147719149347565,0.04049088580036608,0.11529306830002446,0.4479108976550999,0.5040782076007168,0.5598554231761542,0.6353326527305674,0.7687712996048364,0.9044274647378874,0.7372797883720515,0.757209147505772,0.7773626064277003,0.2161317861466427,0.026659066347585494
2000,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6297610963407022,0.08116132930448516,0.019761101725902976,0.11516553299216292,0.041613600001292446,0.11253733963545422,0.44308013539328456,0.49851433848225635,0.5536398660041397,0.6348133689591794,0.7684404268384213,0.9042852869909994,0.7371622768253187,0.756699424033997,0.7764611042910056,0.2172414776352775,0.026059098330725394
2001,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6238238377019485,0.08585677427539683,0.020910321053385198,0.11235256840848575,0.03868042126647309,0.11837607729431067,0.43826011508818363,0.4929508372714219,0.5474074922209288,0.6282317063810834,0.7642495350459472,0.9025232797269215,0.735819042510288,0.7566158684991687,0.7776596447190907,0.21547691623926046,0.02790721526157063
